,movieId,title,genres
3005,4021,Before Night Falls (2000),Drama
734,954,Mr. Smith Goes to Washington (1939),Drama
8628,118896,Mommy (2014),Drama
9739,193585,Flint (2017),Drama
445,510,Poetic Justice (1993),Drama
2411,3201,Five Easy Pieces (1970),Drama
2046,2725,Twin Falls Idaho (1999),Drama
2551,3415,"Mirror, The (Zerkalo) (1975)",Drama
7198,72641,"Blind Side, The  (2009)",Drama
993,1295,"Unbearable Lightness of Being, The (1988)",Drama
6926,64716,Seven Pounds (2008),Drama
3524,4815,Hearts in Atlantis (2001),Drama
6232,46231,Stoned (2005),Drama
3766,5256,Stolen Summer (2002),Drama
266,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
4299,6285,Levity (2003),Drama
9649,180095,Wonder (2017),Drama
5450,26082,Harakiri (Seppuku) (1962),Drama
3392,4615,Last Exit to Brooklyn (1989),Drama
9040,141668,War Room (2015),Drama
835,1096,Sophie's Choice (1982),Drama
1248,1659,Hurricane Streets (1997),Drama
625,795,Somebody to Love (1994),Drama
2497,3331,My Tutor (1983),Drama
3771,5267,"Rookie, The (2002)",Drama
3652,5016,"Shipping News, The (2001)",Drama
5326,8848,"Vitelloni, I (a.k.a. The Young and the Passionate) (1953)",Drama
5086,8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama
4020,5682,"Grey Zone, The (2001)",Drama
4097,5873,The Emperor's Club (2002),Drama
6388,50514,After the Wedding (Efter brylluppet) (2006),Drama
4054,5772,My Dinner with André (1981),Drama
4450,6571,"Mondays in the Sun (Lunes al sol, Los) (2002)",Drama
6137,43908,London (2005),Drama
803,1051,Trees Lounge (1996),Drama
7854,93790,Detachment (2011),Drama
3312,4482,"Bright Lights, Big City (1988)",Drama
2433,3246,Malcolm X (1992),Drama
1832,2433,"Civil Action, A (1998)",Drama
2711,3637,Vagabond (Sans toit ni loi) (1985),Drama
3739,5202,Mon oncle d'Amérique (1980),Drama
4605,6858,Knife in the Water (Nóz w wodzie) (1962),Drama
6139,43914,Winter Passing (2005),Drama
9062,142222,Demolition (2016),Drama
5427,25898,Day of Wrath (Vredens dag) (1943),Drama
1919,2546,"Deep End of the Ocean, The (1999)",Drama
7490,82684,Trash Humpers (2009),Drama
647,835,Foxfire (1996),Drama
5219,8518,Anna Christie (1930),Drama
3841,5390,CQ (2001),Drama
5019,7789,"11'09""01 - September 11 (2002)",Drama
3356,4557,Tucker: The Man and His Dream (1988),Drama
4822,7190,Jane Eyre (1970),Drama
7519,84240,Even the Rain (También la lluvia) (2010),Drama
4179,6022,American Me (1992),Drama
3491,4772,Dinner Rush (2000),Drama
937,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
2359,3125,"End of the Affair, The (1999)",Drama
5447,26059,When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki) (1960),Drama
564,685,It's My Party (1996),Drama
6708,58492,Snow Angels (2007),Drama
4158,5988,Quicksilver (1986),Drama
9416,165551,Lion (2016),Drama
8790,129659,"McFarland, USA (2015)",Drama
2796,3738,"Sugarland Express, The (1974)",Drama
9467,168350,100 Streets (2016),Drama
4037,5721,"Chosen, The (1981)",Drama
539,636,Frisk (1995),Drama
2398,3181,Titus (1999),Drama
1663,2236,Simon Birch (1998),Drama
7665,88810,"Help, The (2011)",Drama
362,418,Being Human (1993),Drama
1875,2493,"Harmonists, The (1997)",Drama
7487,82534,"Company Men, The (2010)",Drama
9225,152085,Desierto (2016),Drama
121,148,"Awfully Big Adventure, An (1995)",Drama
5372,8958,Ray (2004),Drama
3381,4599,Great Balls of Fire! (1989),Drama
5553,26695,"Krays, The (1990)",Drama
5738,30812,"Aviator, The (2004)",Drama
4893,7327,Persona (1966),Drama
2773,3711,Sarafina! (1992),Drama
4134,5947,Evelyn (2002),Drama
2904,3894,Solas (1999),Drama
6634,56286,I'm Not There (2007),Drama
4260,6216,Nowhere in Africa (Nirgendwo in Afrika) (2001),Drama
4747,7071,"Woman Under the Influence, A (1974)",Drama
9257,156387,Sing Street (2016),Drama
4594,6832,Regarding Henry (1991),Drama
2439,3252,Scent of a Woman (1992),Drama
1160,1533,"Promise, The (La promesse) (1996)",Drama
3755,5238,Return of the Secaucus 7 (1980),Drama
2546,3408,Erin Brockovich (2000),Drama
8243,104337,Lee Daniels' The Butler (2013),Drama
8401,110330,Me and you (io e te) (2012),Drama
1721,2313,"Elephant Man, The (1980)",Drama
2424,3224,Woman in the Dunes (Suna no onna) (1964),Drama
807,1056,Jude (1996),Drama
6373,49961,Notes on a Scandal (2006),Drama
4952,7479,Watch on the Rhine (1943),Drama
6407,50923,"Astronaut Farmer, The (2007)",Drama
749,982,Picnic (1955),Drama
4846,7243,Intolerance: Love's Struggle Throughout the Ages (1916),Drama
7204,72720,"Single Man, A (2009)",Drama
573,703,Boys (1996),Drama
3833,5379,"Believer, The (2001)",Drama
5066,7940,The Magician (1958),Drama
2611,3496,Madame Sousatzka (1988),Drama
4894,7328,"Passion of Anna, The (Passion, En) (1969)",Drama
2229,2964,Julien Donkey-Boy (1999),Drama
979,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama
9162,148626,"Big Short, The (2015)",Drama
6277,47629,The Queen (2006),Drama
3924,5515,Songs From the Second Floor (Sånger från andra våningen) (2000),Drama
4063,5788,All or Nothing (2002),Drama
312,354,Cobb (1994),Drama
260,300,Quiz Show (1994),Drama
3199,4313,"Man Who Cried, The (2000)",Drama
5893,33421,Dear Wendy (2005),Drama
2396,3178,"Hurricane, The (1999)",Drama
3490,4771,Hardball (2001),Drama
413,475,In the Name of the Father (1993),Drama
231,269,My Crazy Life (Mi vida loca) (1993),Drama
1916,2541,Cruel Intentions (1999),Drama
8291,106144,"Selfish Giant, The (2013)",Drama
1416,1938,"Lost Weekend, The (1945)",Drama
8226,103980,Blue Jasmine (2013),Drama
3205,4325,"Night, The (Notte, La) (1960)",Drama
1534,2069,"Trip to Bountiful, The (1985)",Drama
36,40,"Cry, the Beloved Country (1995)",Drama
5127,8191,Anne of the Thousand Days (1969),Drama
3519,4810,I Never Promised You a Rose Garden (1977),Drama
5291,8754,"Prime of Miss Jean Brodie, The (1969)",Drama
8742,127184,Eden (2014),Drama
2617,3502,My Life (1993),Drama
8500,113604,If I Stay (2014),Drama
443,508,Philadelphia (1993),Drama
463,529,Searching for Bobby Fischer (1993),Drama
1433,1956,Ordinary People (1980),Drama
2557,3423,School Daze (1988),Drama
748,981,Dangerous Ground (1997),Drama
8514,114184,Camp X-Ray (2014),Drama
5789,31610,Purple Butterfly (Zi hudie) (2003),Drama
4567,6786,Kiss of the Spider Woman (1985),Drama
4272,6237,"Glenn Miller Story, The (1953)",Drama
4956,7487,Henry & June (1990),Drama
1659,2226,"Ring, The (1927)",Drama
1715,2304,Love Is the Devil (1998),Drama
5198,8462,Executive Suite (1954),Drama
4415,6516,Anastasia (1956),Drama
1353,1840,He Got Game (1998),Drama
470,537,Sirens (1994),Drama
2066,2745,"Mission, The (1986)",Drama
471,538,Six Degrees of Separation (1993),Drama
5192,8451,Blackboard Jungle (1955),Drama
147,175,Kids (1995),Drama
2561,3428,"Champ, The (1979)",Drama
4402,6477,"Song of Bernadette, The (1943)",Drama
4023,5688,Tully (2000),Drama
9128,146656,Creed (2015),Drama
4507,6669,Ikiru (1952),Drama
6875,62799,"Express, The (2008)",Drama
2351,3109,"River, The (1984)",Drama
8466,112552,Whiplash (2014),Drama
5005,7745,"Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte) (1993)",Drama
7678,89118,"Skin I Live In, The (La piel que habito) (2011)",Drama
1290,1719,"Sweet Hereafter, The (1997)",Drama
5368,8952,Falling Angels (2003),Drama
5065,7939,Through a Glass Darkly (Såsom i en spegel) (1961),Drama
6215,45658,On a Clear Day (2005),Drama
2133,2839,West Beirut (West Beyrouth) (1998),Drama
1954,2590,Hideous Kinky (1998),Drama
30,31,Dangerous Minds (1995),Drama
3393,4616,Lean on Me (1989),Drama
4740,7062,Birdman of Alcatraz (1962),Drama
6888,63179,Tokyo! (2008),Drama
5984,36527,Proof (2005),Drama
2342,3100,"River Runs Through It, A (1992)",Drama
4265,6222,Prozac Nation (2001),Drama
6369,49910,Freedom Writers (2007),Drama
2244,2979,Body Shots (1999),Drama
2719,3649,American Gigolo (1980),Drama
4990,7702,"Bells of St. Mary's, The (1945)",Drama
1536,2071,And the Band Played On (1993),Drama
4676,6984,"Tale of Two Cities, A (1935)",Drama
6480,52967,Away from Her (2006),Drama
4624,6887,Radio (2003),Drama
4837,7219,They Drive by Night (1940),Drama
6479,52952,This Is England (2006),Drama
2268,3010,Rosetta (1999),Drama
1690,2272,One True Thing (1998),Drama
6980,66744,"Divo, Il (2008)",Drama
7793,91981,Sacrifice (Zhao shi gu er) (2010),Drama
5854,32600,Eros (2004),Drama
4437,6553,"Embalmer, The (Imbalsamatore, L') (2002)",Drama
8461,112454,Honey (Miele) (2013),Drama
5515,26498,Boy Meets Girl (1984),Drama
796,1041,Secrets & Lies (1996),Drama
7290,75446,Little Ashes (2008),Drama
428,491,"Man Without a Face, The (1993)",Drama
853,1124,On Golden Pond (1981),Drama
7024,68552,Crossing Over (2009),Drama
239,277,Miracle on 34th Street (1994),Drama
548,650,Moll Flanders (1996),Drama
7125,71147,Death of a Cyclist (Muerte de un ciclista) (1955),Drama
343,386,S.F.W. (1994),Drama
3261,4408,September (1987),Drama
8840,132335,Breathe (2014),Drama
4277,6244,Salaam Bombay! (1988),Drama
2594,3469,Inherit the Wind (1960),Drama
6354,49347,Fast Food Nation (2006),Drama
6258,47099,"Pursuit of Happyness, The (2006)",Drama
2075,2757,Frances (1982),Drama
2373,3148,"Cider House Rules, The (1999)",Drama
5527,26562,White Nights (1985),Drama
8903,134881,Love & Mercy (2014),Drama
5375,8964,Callas Forever (2002),Drama
4261,6217,"Safety of Objects, The (2001)",Drama
3379,4595,Fat Man and Little Boy (1989),Drama
7422,80590,Wall Street: Money Never Sleeps (2010),Drama
1661,2231,Rounders (1998),Drama
7735,90719,J. Edgar (2011),Drama
9302,158972,Toni Erdmann (2016),Drama
3650,5014,I Am Sam (2001),Drama
4804,7158,House of Sand and Fog (2003),Drama
3102,4164,"Caveman's Valentine, The (2001)",Drama
458,523,Ruby in Paradise (1993),Drama
7875,94325,"Lucky One, The (2012)",Drama
5449,26078,Advise and Consent (1962),Drama
678,896,Wild Reeds (Les roseaux sauvages) (1994),Drama
7253,74324,Temple Grandin (2010),Drama
6866,62437,W. (2008),Drama
3996,5637,Flirting (1991),Drama
5540,26622,Dominick and Eugene (1988),Drama
3654,5023,"Waterdance, The (1992)",Drama
8539,115170,"Judge, The (2014)",Drama
7318,77266,Disgrace (2008),Drama
7728,90531,Shame (2011),Drama
3250,4393,Another Woman (1988),Drama
2794,3736,"Ace in the Hole (Big Carnival, The) (1951)",Drama
3042,4074,"Legend of Rita, The (Stille nach dem Schuß, Die) (1999)",Drama
2333,3090,Matewan (1987),Drama
2505,3350,"Raisin in the Sun, A (1961)",Drama
2353,3112,'night Mother (1986),Drama
3774,5272,Time Out (L'emploi du temps) (2001),Drama
1403,1922,Whatever (1998),Drama
3625,4976,Iris (2001),Drama
822,1082,"Candidate, The (1972)",Drama
4099,5875,Personal Velocity (2002),Drama
4085,5838,Madame Bovary (1991),Drama
8304,106766,Inside Llewyn Davis (2013),Drama
4190,6041,Amen. (2002),Drama
3513,4801,"Little Foxes, The (1941)",Drama
3115,4190,Elmer Gantry (1960),Drama
2366,3138,Stealing Home (1988),Drama
3330,4508,Gorillas in the Mist (1988),Drama
2397,3179,Angela's Ashes (1999),Drama
6255,46974,World Trade Center (2006),Drama
3683,5073,"Son's Room, The (Stanza del figlio, La) (2001)",Drama
6279,47644,Invincible (2006),Drama
945,1246,Dead Poets Society (1989),Drama
2401,3185,Snow Falling on Cedars (1999),Drama
6564,55069,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",Drama
2370,3145,Cradle Will Rock (1999),Drama
4730,7052,Mary of Scotland (1936),Drama
4546,6752,"Fighting Temptations, The (2003)",Drama
259,299,Priest (1994),Drama
1229,1633,Ulee's Gold (1997),Drama
1965,2609,"King of Masks, The (Bian Lian) (1996)",Drama
2740,3678,"Man with the Golden Arm, The (1955)",Drama
5325,8844,Camera Buff (Amator) (1979),Drama
3107,4174,Avalon (1990),Drama
5124,8188,Sansho the Bailiff (Sanshô dayû) (1954),Drama
6807,60857,"Tracey Fragments, The (2007)",Drama
4074,5810,8 Mile (2002),Drama
469,536,"Simple Twist of Fate, A (1994)",Drama
2920,3916,Remember the Titans (2000),Drama
9119,145839,Concussion (2015),Drama
2023,2695,"Boys, The (1998)",Drama
5603,26974,Gummo (1997),Drama
2523,3379,On the Beach (1959),Drama
1741,2336,Elizabeth (1998),Drama
1838,2445,At First Sight (1999),Drama
2851,3813,Interiors (1978),Drama
4204,6070,Tokyo Decadence (Topâzu) (1992),Drama
2400,3183,"Third Miracle, The (1999)",Drama
4627,6890,Elephant (2003),Drama
8664,121169,The Duke of Burgundy (2014),Drama
1966,2611,"Winslow Boy, The (1999)",Drama
4554,6768,Luther (2003),Drama
6308,48326,All the King's Men (2006),Drama
544,645,Nelly & Monsieur Arnaud (1995),Drama
724,944,Lost Horizon (1937),Drama
280,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
9010,140237,The Runner (2015),Drama
2065,2744,Otello (1986),Drama
1642,2188,54 (1998),Drama
2992,4007,Wall Street (1987),Drama
5827,32234,Julia (1977),Drama
2853,3816,"Official Story, The (La historia oficial) (1985)",Drama
571,698,Delta of Venus (1995),Drama
616,781,Stealing Beauty (1996),Drama
2782,3723,Hamlet (1990),Drama
610,766,I Shot Andy Warhol (1996),Drama
8158,102407,"Great Gatsby, The (2013)",Drama
3303,4470,Ariel (1988),Drama
3626,4977,Kandahar (Safar e Ghandehar) (2001),Drama
5348,8915,Stage Beauty (2004),Drama
4732,7054,Little Women (1949),Drama
9672,182793,The Purple Sea (2009),Drama
5552,26694,Ju Dou (1990),Drama
50,55,Georgia (1995),Drama
2402,3186,"Girl, Interrupted (1999)",Drama
3679,5068,Beijing Bicycle (Shiqi sui de dan che) (2001),Drama
764,1006,"Chamber, The (1996)",Drama
737,959,Of Human Bondage (1934),Drama
2458,3271,Of Mice and Men (1992),Drama
3803,5322,World Traveler (2001),Drama
2419,3214,American Flyers (1985),Drama
3266,4420,"Barefoot Contessa, The (1954)",Drama
8260,104944,Short Term 12 (2013),Drama
2269,3011,"They Shoot Horses, Don't They? (1969)",Drama
2140,2848,"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",Drama
9338,160646,Goat (2016),Drama
5389,8982,I Am David (2003),Drama
2811,3756,"Golden Bowl, The (2000)",Drama
7634,87660,Too Big to Fail (2011),Drama
8353,108727,Nymphomaniac: Volume I (2013),Drama
6933,65037,Ben X (2007),Drama
849,1119,Drunks (1995),Drama
9301,158966,Captain Fantastic (2016),Drama
1981,2630,Besieged (a.k.a. L' Assedio) (1998),Drama
3129,4211,Reversal of Fortune (1990),Drama
2332,3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama
9438,166643,Hidden Figures (2016),Drama
120,147,"Basketball Diaries, The (1995)",Drama
2969,3980,Men of Honor (2000),Drama
1439,1962,Driving Miss Daisy (1989),Drama
5083,8010,"Power of One, The (1992)",Drama
3292,4452,Made (2001),Comedy
283,325,National Lampoon's Senior Trip (1995),Comedy
8939,136447,George Carlin: You Are All Diseased (1999),Comedy
3962,5584,Ernest Goes to Jail (1990),Comedy
664,870,Gone Fishin' (1997),Comedy
5563,26732,Johnny Stecchino (1991),Comedy
9695,184791,Fred Armisen: Standup for Drummers (2018),Comedy
536,633,Denise Calls Up (1995),Comedy
4588,6816,Three O'Clock High (1987),Comedy
8780,129011,Eddie Izzard: Glorious (1997),Comedy
3332,4511,High Spirits (1988),Comedy
588,725,"Great White Hype, The (1996)",Comedy
7815,92535,Louis C.K.: Live at the Beacon Theater (2011),Comedy
377,433,Clean Slate (1994),Comedy
4898,7340,Just One of the Guys (1985),Comedy
600,747,"Stupids, The (1996)",Comedy
4185,6033,Mystery Date (1991),Comedy
6278,47640,Beerfest (2006),Comedy
9482,169912,Denis Leary: No Cure for Cancer (1993),Comedy
6672,57532,Meet the Spartans (2008),Comedy
9283,158022,Kicking Off (2016),Comedy
9646,179953,A Bad Moms Christmas (2017),Comedy
8733,127130,Mistress America (2015),Comedy
9078,142602,"F*ck You, Goethe 2 (2015)",Comedy
4357,6374,"In-Laws, The (2003)",Comedy
1895,2518,Night Shift (1982),Comedy
8543,115231,St. Vincent (2014),Comedy
5851,32589,Beauty Shop (2005),Comedy
230,267,Major Payne (1995),Comedy
1153,1516,Children of the Revolution (1996),Comedy
8184,103048,"Kings of Summer, The (2013)",Comedy
6348,49276,Let's Go to Prison (2006),Comedy
5547,26676,Almost an Angel (1990),Comedy
1571,2109,"Jerk, The (1979)",Comedy
3136,4220,"Longest Yard, The (1974)",Comedy
6801,60756,Step Brothers (2008),Comedy
1089,1414,Mother (1996),Comedy
1624,2169,Dead Man on Campus (1998),Comedy
2886,3861,"Replacements, The (2000)",Comedy
8040,98279,"Fantastic Fear of Everything, A (2012)",Comedy
5016,7781,Twister (1990),Comedy
553,663,Kids in the Hall: Brain Candy (1996),Comedy
7605,86833,Bridesmaids (2011),Comedy
7756,91323,"Sitter, The (2011)",Comedy
8743,127194,The D Train (2015),Comedy
4481,6619,Uptown Girls (2003),Comedy
2813,3760,"Kentucky Fried Movie, The (1977)",Comedy
9528,172215,Saved by the Bell: Hawaiian Style (1992),Comedy
2995,4010,Brewster's Millions (1985),Comedy
7590,86345,Louis C.K.: Hilarious (2010),Comedy
2293,3040,Meatballs (1979),Comedy
8614,118512,Bring It On: In It To Win It (2007),Comedy
4234,6166,Dennis the Menace (1993),Comedy
8104,100507,21 and Over (2013),Comedy
2490,3324,Drowning Mona (2000),Comedy
3394,4617,Let It Ride (1989),Comedy
9254,155892,Me Him Her (2015),Comedy
5186,8425,Meet the Applegates (1991),Comedy
6712,58655,Drillbit Taylor (2008),Comedy
9493,170411,Dave Chappelle: Deep in the Heart of Texas (2017),Comedy
9048,141820,Old Men: Robbers (1971),Comedy
9458,168144,Joe Rogan: Live (2006),Comedy
1774,2372,Fletch Lives (1989),Comedy
3163,4255,Freddy Got Fingered (2001),Comedy
6273,47518,Accepted (2006),Comedy
3550,4860,Making the Grade (1984),Comedy
1955,2593,"Monster, The (Mostro, Il) (1994)",Comedy
3468,4732,Bubble Boy (2001),Comedy
4522,6702,Dickie Roberts: Former Child Star (2003),Comedy
3655,5025,Orange County (2002),Comedy
2295,3042,Meatballs III (1987),Comedy
2925,3922,Bikini Beach (1964),Comedy
7284,74946,She's Out of My League (2010),Comedy
9163,148632,Applesauce (2015),Comedy
3140,4225,"Dish, The (2001)",Comedy
877,1171,Bob Roberts (1992),Comedy
897,1194,Cheech and Chong's Up in Smoke (1978),Comedy
6830,61250,"House Bunny, The (2008)",Comedy
5526,26555,Spies Like Us (1985),Comedy
2175,2891,"Happy, Texas (1999)",Comedy
4998,7716,"Lonely Guy, The (1984)",Comedy
5263,8641,Anchorman: The Legend of Ron Burgundy (2004),Comedy
3765,5255,Sorority Boys (2002),Comedy
3525,4816,Zoolander (2001),Comedy
8824,131578,Reckless Kelly (1994),Comedy
6608,55729,King of California (2007),Comedy
4287,6265,Head of State (2003),Comedy
2338,3096,My Man Godfrey (1957),Comedy
1860,2472,Tough Guys (1986),Comedy
2395,3177,Next Friday (2000),Comedy
638,813,Larger Than Life (1996),Comedy
8706,124273,Kevin Smith: Too Fat For 40 (2010),Comedy
401,460,Getting Even with Dad (1994),Comedy
7130,71248,Extract (2009),Comedy
8214,103609,Class Act (1992),Comedy
6554,54934,"Brothers Solomon, The (2007)",Comedy
9386,163653,David Cross: Making America Great Again (2016),Comedy
9349,161024,Jim Jefferies: Freedumb (2016),Comedy
7326,77688,Three Men and a Cradle (3 hommes et un couffin) (1985),Comedy
6538,54617,"Brice Man, The (Brice de Nice) (2005)",Comedy
9122,145994,Formula of Love (1984),Comedy
5277,8695,"Bachelor and the Bobby-Soxer, The (1947)",Comedy
6042,39715,American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),Comedy
9171,148888,Zoolander 2 (2016),Comedy
7637,87867,Zookeeper (2011),Comedy
9716,188797,Tag (2018),Comedy
9552,173205,The Meyerowitz Stories (2017),Comedy
3137,4221,Necessary Roughness (1991),Comedy
2850,3812,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),Comedy
7291,75803,Our Family Wedding (2010),Comedy
9409,165139,Wild Oats (2016),Comedy
3131,4214,Revenge of the Nerds (1984),Comedy
7577,86066,Playing the Victim (Izobrazhaya zhertvu) (2006),Comedy
537,634,Theodore Rex (1995),Comedy
6528,54256,Hot Rod (2007),Comedy
7669,88954,"Very Harold & Kumar 3D Christmas, A (2011)",Comedy
7356,78544,Ricky Gervais Live 3: Fame (2007),Comedy
2307,3057,Where's Marlowe? (1998),Comedy
1304,1747,Wag the Dog (1997),Comedy
6469,52715,Kickin It Old Skool (2007),Comedy
584,719,Multiplicity (1996),Comedy
3456,4714,Any Which Way You Can (1980),Comedy
8369,109313,Chouchou (2003),Comedy
6828,61246,Hamlet 2 (2008),Comedy
9256,156371,Everybody Wants Some (2016),Comedy
2774,3712,Soapdish (1991),Comedy
2847,3809,What About Bob? (1991),Comedy
4555,6769,Mambo Italiano (2003),Comedy
6114,42740,Looking for Comedy in the Muslim World (2005),Comedy
7795,92046,Contact High (2009),Comedy
8888,134334,Phir Hera Pheri (2006),Comedy
1184,1581,Out to Sea (1997),Comedy
5942,34312,"Calcium Kid, The (2004)",Comedy
4280,6249,Boat Trip (2003),Comedy
3067,4116,Hollywood Shuffle (1987),Comedy
4055,5773,Neighbors (1981),Comedy
5000,7727,Protocol (1984),Comedy
6958,65738,Revenge of the Nerds III: The Next Generation (1992),Comedy
3463,4722,All Over the Guy (2001),Comedy
7345,78160,Ricky Gervais Live: Animals (2003),Comedy
6541,54732,Balls of Fury (2007),Comedy
3331,4509,"Great Outdoors, The (1988)",Comedy
1573,2111,"Man with Two Brains, The (1983)",Comedy
9362,161922,The Edge of Seventeen (2016),Comedy
3228,4359,"Seven Year Itch, The (1955)",Comedy
3256,4402,Dr. Goldfoot and the Bikini Machine (1965),Comedy
7950,95949,"Immature, The (Immaturi) (2011)",Comedy
9057,142020,Oscar (1967),Comedy
8673,121715,Sebastian Maniscalco: What's Wrong with People? (2012),Comedy
4944,7451,Mean Girls (2004),Comedy
2753,3691,Private School (1983),Comedy
9658,181065,Jack Whitehall: At Large (2017),Comedy
9616,177185,Maz Jobrani: Immigrant (2017),Comedy
708,927,"Women, The (1939)",Comedy
3324,4499,Dirty Rotten Scoundrels (1988),Comedy
5038,7843,Lammbock (2001),Comedy
2294,3041,Meatballs Part II (1984),Comedy
3642,5004,"Party, The (1968)",Comedy
7613,86922,Nothing to Declare (Rien à déclarer) (2010),Comedy
5674,27685,Bring It On Again (2004),Comedy
3963,5585,Ernest Scared Stupid (1991),Comedy
579,710,Celtic Pride (1996),Comedy
1666,2241,Class (1983),Comedy
2717,3646,Big Momma's House (2000),Comedy
5897,33495,Kicking & Screaming (2005),Comedy
9449,167634,Fist Fight (2017),Comedy
6987,67087,"I Love You, Man (2009)",Comedy
2102,2796,Funny Farm (1988),Comedy
3434,4678,UHF (1989),Comedy
8671,121374,Bill Burr: Why Do I Do This? (2008),Comedy
9632,179119,The Death of Stalin (2017),Comedy
5599,26940,"Late Shift, The (1996)",Comedy
426,489,Made in America (1993),Comedy
7667,88911,My Afternoons with Margueritte (La tête en friche) (2010),Comedy
2155,2870,Barefoot in the Park (1967),Comedy
9125,146210,Blue Mountain State: The Rise of Thadland (2015),Comedy
9196,150604,Moonwalkers (2015),Comedy
5176,8380,Father Hood (1993),Comedy
3125,4204,Losin' It (1983),Comedy
9686,184015,When We First Met (2018),Comedy
3132,4215,Revenge of the Nerds II: Nerds in Paradise (1987),Comedy
5900,33564,Divorce - Italian Style (Divorzio all'italiana) (1961),Comedy
302,344,Ace Ventura: Pet Detective (1994),Comedy
291,333,Tommy Boy (1995),Comedy
7912,95201,To Rome with Love (2012),Comedy
9289,158398,World of Glory (1991),Comedy
6249,46865,Little Man (2006),Comedy
5866,32875,Holiday (Jour de fête) (1949),Comedy
3720,5139,"Bad News Bears, The (1976)",Comedy
1166,1546,Schizopolis (1996),Comedy
703,921,My Favorite Year (1982),Comedy
2676,3581,Human Traffic (1999),Comedy
2696,3617,Road Trip (2000),Comedy
830,1091,Weekend at Bernie's (1989),Comedy
5952,34359,Georgy Girl (1966),Comedy
3753,5231,Road to Morocco (1942),Comedy
6578,55241,Mr. Woodcock (2007),Comedy
5218,8512,Silent Movie (1976),Comedy
18,19,Ace Ventura: When Nature Calls (1995),Comedy
1116,1456,"Pest, The (1997)",Comedy
8976,138204,7 Days in Hell (2015),Comedy
4239,6182,"Thrill of It All, The (1963)",Comedy
2532,3392,She-Devil (1989),Comedy
79,88,Black Sheep (1996),Comedy
491,564,Chasers (1994),Comedy
2960,3968,Bedazzled (2000),Comedy
8953,136666,Search Party (2014),Comedy
3913,5500,Top Secret! (1984),Comedy
8637,119153,Bill Burr: You People Are All the Same (2012),Comedy
1096,1425,Fierce Creatures (1997),Comedy
9532,172321,Late Night with Conan O'Brien: The Best of Triumph the Insult Comic Dog (2004),Comedy
3327,4504,Feds (1988),Comedy
7939,95744,2 Days in New York (2012),Comedy
6673,57536,Strange Wilderness (2008),Comedy
